(1,'47 MySakila Drive',NULL,'Alberta',300,DEFAULT,DEFAULT,'2014-09-25 22:30:27'),
(39,'391 Callao Drive',DEFAULT,'Midi-Pyrnes',544,34021,440512153169,'2014-09-25 22:31:01'),
(40,'334 Munger (Monghyr), Lane',DEFAULT,'Markazi',31,38145,481183273622,'2014-09-25 22:31:36'),
(41,'1440 Fukuyama Loop',DEFAULT,'Henan',362,47929,912257250465,'2014-09-25 22:30:40'),
(42,'269 Cam Ranh Parkway',DEFAULT,'Chisinau',115,34689,489783829737,'2014-09-25 22:32:15'),
(43,'306 Antofagasta Place',DEFAULT,'Esprito Santo',569,3989,378318851631,'2014-09-25 22:30:23'),
(44,'671 Graz Street',DEFAULT,'Oriental',353,94399,680768868518,'2014-09-25 22:32:16'),
(45,'42 Brindisi Place',DEFAULT,'Yerevan',586,16744,42384721397,'2014-09-25 22:30:08'),
(46,'1632 Bislig Avenue',DEFAULT,'Nonthaburi',394,61117,471675840679,'2014-09-25 22:33:20'),
(47,'1447 Imus Way',DEFAULT,'Tahiti',167,48942,539758313890,'2014-09-25 22:31:02'),
(48,'1998 Halifax Drive',DEFAULT,'Lipetsk',308,76022,177727722820,'2014-09-25 22:32:54'),
(49,'1718 Valencia Street',DEFAULT,'Antofagasta',27,37359,675292816413,'2014-09-25 22:30:29'),
(50,'46 Pjatigorsk Lane',DEFAULT,'Moscow (City),',343,23616,262076994845,'2014-09-25 22:32:55'),
(51,'686 Garland Manor',DEFAULT,'Cear',247,52535,69493378813,'2014-09-25 22:30:19'),
(52,'909 Garland Manor',DEFAULT,'Tatarstan',367,69367,705800322606,'2014-09-25 22:32:55'),
(53,'725 Isesaki Place',DEFAULT,'Mekka',237,74428,876295323994,'2014-09-25 22:33:00'),
(54,'115 Hidalgo Parkway',DEFAULT,'Khartum',379,80168,307703950263,'2014-09-25 22:33:11'),
(55,'1135 Izumisano Parkway',DEFAULT,'California',171,48150,171822533480,'2014-09-25 22:33:50'),
(56,'939 Probolinggo Loop',DEFAULT,'Galicia',1,4166,680428310138,'2014-09-25 22:33:08'),
(57,'17 Kabul Boulevard',DEFAULT,'Chiba',355,38594,697760867968,'2014-09-25 22:31:51'),
(58,'1964 Allappuzha (Alleppey), Street',DEFAULT,'Yamaguchi',227,48980,920811325222,'2014-09-25 22:31:47'),
(59,'1697 Kowloon and New Kowloon Loop',DEFAULT,'Moskova',49,57807,499352017190,'2014-09-25 22:32:47'),
(60,'1668 Saint Louis Place',DEFAULT,'Tahiti',397,39072,347487831378,'2014-09-25 22:31:02'),
(61,'943 Tokat Street',DEFAULT,'Vaduz',560,45428,889318963672,'2014-09-25 22:31:58'),
(62,'1114 Liepaja Street',DEFAULT,'Sarawak',282,69226,212869228936,'2014-09-25 22:32:00'),
(63,'1213 Ranchi Parkway',DEFAULT,'Karnataka',350,94352,800024380485,'2014-09-25 22:31:21'),
(64,'81 Hodeida Way',DEFAULT,'Rajasthan',231,55561,250767749542,'2014-09-25 22:31:17'),
(65,'915 Ponce Place',DEFAULT,'Basel-Stadt',56,83980,1395251317,'2014-09-25 22:33:12'),
(66,'1717 Guadalajara Lane',DEFAULT,'Missouri',441,85505,914090181665,'2014-09-25 22:33:59'),
(67,'1214 Hanoi Way',DEFAULT,'Nebraska',306,67055,491001136577,'2014-09-25 22:33:56'),
(68,'1966 Amroha Avenue',DEFAULT,'Sichuan',139,70385,333489324603,'2014-09-25 22:30:32'),
(69,'698 Otsu Street',DEFAULT,'Cayenne',105,71110,409983924481,'2014-09-25 22:31:02'),
(70,'1150 Kimchon Manor',DEFAULT,'Skne ln',321,96109,663449333709,'2014-09-25 22:33:11'),
(71,'1586 Guaruj Place',DEFAULT,'Hunan',579,5135,947233365992,'2014-09-25 22:30:46'),
(72,'57 Arlington Manor',DEFAULT,'Madhya Pradesh',475,48960,990214419142,'2014-09-25 22:31:27'),
(73,'1031 Daugavpils Parkway',DEFAULT,'Bchar',63,59025,107137400143,'2014-09-25 22:29:59'),
(74,'1124 Buenaventura Drive',DEFAULT,'Mekka',13,6856,407733804223,'2014-09-25 22:32:59'),
(75,'492 Cam Ranh Street',DEFAULT,'Eastern Visayas',61,50805,565018274456,'2014-09-25 22:32:34'),
(76,'89 Allappuzha (Alleppey), Manor',DEFAULT,'National Capital Reg',517,75444,255800440636,'2014-09-25 22:32:39'),
(77,'1947 Poos de Caldas Boulevard',DEFAULT,'Chiayi',114,60951,427454485876,'2014-09-25 22:33:14'),
(78,'1206 Dos Quebradas Place',DEFAULT,'So Paulo',431,20207,241832790687,'2014-09-25 22:30:21'),
(79,'1551 Rampur Lane',DEFAULT,'Changhwa',108,72394,251164340471,'2014-09-25 22:33:14'),
(80,'602 Paarl Street',DEFAULT,'Pavlodar',402,98889,896314772871,'2014-09-25 22:31:55'),
(81,'1692 Ede Loop',DEFAULT,'So Paulo',30,9223,918711376618,'2014-09-25 22:30:16'),
(82,'936 Salzburg Lane',DEFAULT,'Uttar Pradesh',425,96709,875756771675,'2014-09-25 22:31:24'),
(83,'586 Tete Way',DEFAULT,'Kanagawa',256,1079,18581624103,'2014-09-25 22:31:48'),
(84,'1888 Kabul Drive',DEFAULT,'Oyo & Osun',217,20936,701457319790,'2014-09-25 22:32:24'),
(85,'320 Baiyin Parkway',DEFAULT,'Mahajanga',319,37307,223664661973,'2014-09-25 22:31:59'),
(86,'927 Baha Blanca Parkway',DEFAULT,'Krim',479,9495,821972242086,'2014-09-25 22:33:33'),
(87,'929 Tallahassee Loop',DEFAULT,'Gauteng',497,74671,800716535041,'2014-09-25 22:33:06'),
(88,'125 Citt del Vaticano Boulevard',DEFAULT,'Puebla',40,67912,48417642933,'2014-09-25 22:32:02'),
(89,'1557 Ktahya Boulevard',DEFAULT,'England',88,88002,720998247660,'2014-09-25 22:33:36'),
(90,'870 Ashqelon Loop',DEFAULT,'Songkhla',489,84931,135117278909,'2014-09-25 22:33:20'),
(91,'1740 Portoviejo Avenue',DEFAULT,'Sucre',480,29932,198123170793,'2014-09-25 22:30:53'),
(92,'1942 Ciparay Parkway',DEFAULT,'Cheju',113,82624,978987363654,'2014-09-25 22:33:06'),
(93,'1926 El Alto Avenue',DEFAULT,'Buenos Aires',289,75543,846225459260,'2014-09-25 22:30:05'),
(94,'1952 Chatsworth Drive',DEFAULT,'Guangdong',332,25958,991562402283,'2014-09-25 22:30:40'),
(95,'1370 Le Mans Avenue',DEFAULT,'Brunei and Muara',53,52163,345679835036,'2014-09-25 22:30:23'),
(96,'984 Effon-Alaiye Avenue',DEFAULT,'Gois',183,17119,132986892228,'2014-09-25 22:30:17'),
(97,'832 Nakhon Sawan Manor',DEFAULT,'Inner Mongolia',592,49021,275595571388,'2014-09-25 22:30:50'),
(98,'152 Kitwe Parkway',DEFAULT,'Caraga',82,53182,835433605312,'2014-09-25 22:32:35'),
(99,'1697 Tanauan Lane',DEFAULT,'Punjab',399,22870,4764773857,'2014-09-25 22:31:22'),
(100,'1308 Arecibo Way',DEFAULT,'Georgia',41,30695,6171054059,'2014-09-25 22:33:43'),
(101,'1599 Plock Drive',DEFAULT,'Tete',534,71986,817248913162,'2014-09-25 22:32:18'),
(102,'669 Firozabad Loop',DEFAULT,'Abu Dhabi',12,92265,412903167998,'2014-09-25 22:33:35'),
(103,'588 Vila Velha Manor',DEFAULT,'Kyongsangbuk',268,51540,333339908719,'2014-09-25 22:33:07'),
(104,'1913 Kamakura Place',DEFAULT,'Lipetsk',238,97287,942570536750,'2014-09-25 22:32:49'),
(105,'733 Mandaluyong Place',DEFAULT,'Asir',2,77459,196568435814,'2014-09-25 22:32:59'),
(106,'659 Vaduz Drive',DEFAULT,'Ha Darom',34,49708,709935135487,'2014-09-25 22:31:40'),
(107,'1177 Jelets Way',DEFAULT,'Kwara & Kogi',220,3305,484292626944,'2014-09-25 22:32:24'),
(108,'1386 Yangor Avenue',DEFAULT,'Provence-Alpes-Cte',543,80720,449216226468,'2014-09-25 22:31:01'),
(109,'454 Nakhon Sawan Boulevard',DEFAULT,'Funafuti',173,76383,963887147572,'2014-09-25 22:33:31'),
(110,'1867 San Juan Bautista Tuxtepec Avenue',DEFAULT,'Ivanovo',225,78311,547003310357,'2014-09-25 22:32:48'),
(111,'1532 Dzerzinsk Way',DEFAULT,'Buenos Aires',334,9599,330838016880,'2014-09-25 22:30:06'),
(112,'1002 Ahmadnagar Manor',DEFAULT,'Mxico',213,93026,371490777743,'2014-09-25 22:32:07'),
(113,'682 Junan Way',DEFAULT,'North West',273,30418,622255216127,'2014-09-25 22:33:04'),
(114,'804 Elista Drive',DEFAULT,'Hubei',159,61069,379804592943,'2014-09-25 22:30:33'),
(115,'1378 Alvorada Avenue',DEFAULT,'Distrito Federal',102,75834,272234298332,'2014-09-25 22:34:03'),
(116,'793 Cam Ranh Avenue',DEFAULT,'California',292,87057,824370924746,'2014-09-25 22:33:55'),
(117,'1079 Tel Aviv-Jaffa Boulevard',DEFAULT,'Sucre',132,10885,358178933857,'2014-09-25 22:34:04'),
(118,'442 Rae Bareli Place',DEFAULT,'Nordrhein-Westfalen',148,24321,886636413768,'2014-09-25 22:31:04'),
(119,'1107 Nakhon Sawan Avenue',DEFAULT,'Mxico',365,75149,867546627903,'2014-09-25 22:32:11'),
(120,'544 Malm Parkway',DEFAULT,'Central Java',403,63502,386759646229,'2014-09-25 22:31:34'),
(121,'1967 Sincelejo Place',DEFAULT,'Gujarat',176,73644,577812616052,'2014-09-25 22:31:16'),
(122,'333 Goinia Way',DEFAULT,'Texas',185,78625,909029256431,'2014-09-25 22:33:51'),
(123,'1987 Coacalco de Berriozbal Loop',DEFAULT,'al-Qalyubiya',476,96065,787654415858,'2014-09-25 22:30:58'),
(124,'241 Mosul Lane',DEFAULT,'Risaralda',147,76157,765345144779,'2014-09-25 22:30:52'),
(125,'211 Chiayi Drive',DEFAULT,'Uttar Pradesh',164,58186,665993880048,'2014-09-25 22:31:15'),
(126,'1175 Tanauan Way',DEFAULT,'Lima',305,64615,937222955822,'2014-09-25 22:32:33'),
(127,'117 Boa Vista Way',DEFAULT,'Uttar Pradesh',566,6804,677976133614,'2014-09-25 22:31:29'),
(128,'848 Tafuna Manor',DEFAULT,'Ktahya',281,45142,614935229095,'2014-09-25 22:33:27'),
(129,'569 Baicheng Lane',DEFAULT,'Gauteng',85,60304,490211944645,'2014-09-25 22:33:02'),
(130,'1666 Qomsheh Drive',DEFAULT,'So Paulo',410,66255,582835362905,'2014-09-25 22:30:20'),
(131,'801 Hagonoy Drive',DEFAULT,'Smolensk',484,8439,237426099212,'2014-09-25 22:32:57'),
(132,'1050 Garden Grove Avenue',DEFAULT,'Slaskie',236,4999,973047364353,'2014-09-25 22:32:42'),
(133,'1854 Tieli Street',DEFAULT,'Shandong',302,15819,509492324775,'2014-09-25 22:30:39'),
(134,'758 Junan Lane',DEFAULT,'Gois',190,82639,935448624185,'2014-09-25 22:30:18'),
(135,'1752 So Leopoldo Parkway',DEFAULT,'Taka-Karpatia',345,14014,252265130067,'2014-09-25 22:33:32'),
(136,'898 Belm Manor',DEFAULT,'Free State',87,49757,707169393853,'2014-09-25 22:33:02'),
(137,'261 Saint Louis Way',DEFAULT,'Coahuila de Zaragoza',541,83401,321944036800,'2014-09-25 22:32:13'),
(138,'765 Southampton Drive',DEFAULT,'al-Qalyubiya',421,4285,23712411567,'2014-09-25 22:30:57'),
(139,'943 Johannesburg Avenue',DEFAULT,'Maharashtra',417,5892,90921003005,'2014-09-25 22:31:24'),
(140,'788 Atinsk Street',DEFAULT,'Karnataka',211,81691,146497509724,'2014-09-25 22:31:17'),
(141,'1749 Daxian Place',DEFAULT,'Gelderland',29,11044,963369996279,'2014-09-25 22:32:20'),
(142,'1587 Sullana Lane',DEFAULT,'Inner Mongolia',207,85769,468060467018,'2014-09-25 22:30:35'),
(143,'1029 Dzerzinsk Manor',DEFAULT,'Ynlin',542,57519,33173584456,'2014-09-25 22:33:16'),
(144,'1666 Beni-Mellal Place',DEFAULT,'Tennessee',123,13377,9099941466,'2014-09-25 22:33:48'),
(145,'928 Jaffna Loop',DEFAULT,'Hiroshima',172,93762,581852137991,'2014-09-25 22:31:45'),
(146,'483 Ljubertsy Parkway',DEFAULT,'Scotland',149,60562,581174211853,'2014-09-25 22:33:36'),
(147,'374 Bat Yam Boulevard',DEFAULT,'Kilis',266,97700,923261616249,'2014-09-25 22:33:26'),
(148,'1027 Songkhla Manor',DEFAULT,'Minsk',340,30861,563660187896,'2014-09-25 22:30:13'),
(149,'999 Sanaa Loop',DEFAULT,'Gauteng',491,3439,918032330119,'2014-09-25 22:33:05'),
(150,'879 Newcastle Way',DEFAULT,'Michigan',499,90732,206841104594,'2014-09-25 22:34:01'),
(151,'1337 Lincoln Parkway',DEFAULT,'Saitama',555,99457,597815221267,'2014-09-25 22:31:55'),
(152,'1952 Pune Lane',DEFAULT,'Saint-Denis',442,92150,354615066969,'2014-09-25 22:32:46'),
(153,'782 Mosul Street',DEFAULT,'Massachusetts',94,25545,885899703621,'2014-09-25 22:33:46'),
(154,'781 Shimonoseki Drive',DEFAULT,'Michoacn de Ocampo',202,95444,632316273199,'2014-09-25 22:32:06'),
(155,'1560 Jelets Boulevard',DEFAULT,'Shandong',291,77777,189446090264,'2014-09-25 22:30:38'),
(156,'1963 Moscow Place',DEFAULT,'Assam',354,64863,761379480249,'2014-09-25 22:31:21'),
(157,'456 Escobar Way',DEFAULT,'Jakarta Raya',232,36061,719202533520,'2014-09-25 22:31:33'),
(158,'798 Cianjur Avenue',DEFAULT,'Shanxi',590,76990,499408708580,'2014-09-25 22:30:49'),
(159,'185 Novi Sad Place',DEFAULT,'Bern',72,41778,904253967161,'2014-09-25 22:33:13'),
(160,'1367 Yantai Manor',DEFAULT,'Ondo & Ekiti',381,21294,889538496300,'2014-09-25 22:32:26'),
(161,'1386 Nakhon Sawan Boulevard',DEFAULT,'Pyongyang-si',420,53502,368899174225,'2014-09-25 22:32:28'),
(162,'369 Papeete Way',DEFAULT,'North Carolina',187,66639,170117068815,'2014-09-25 22:33:52'),
(163,'1440 Compton Place',DEFAULT,'North Austria',307,81037,931059836497,'2014-09-25 22:30:10'),
(164,'1623 Baha Blanca Manor',DEFAULT,'Moskova',310,81511,149981248346,'2014-09-25 22:32:54'),
(165,'97 Shimoga Avenue',DEFAULT,'Tel Aviv',533,44660,177167004331,'2014-09-25 22:31:41'),
(166,'1740 Le Mans Loop',DEFAULT,'Pays de la Loire',297,22853,168476538960,'2014-09-25 22:31:01'),
(167,'1287 Xiangfan Boulevard',DEFAULT,'Gifu',253,57844,819416131190,'2014-09-25 22:31:48'),
(168,'842 Salzburg Lane',DEFAULT,'Adana',529,3313,697151428760,'2014-09-25 22:33:29'),
(169,'154 Tallahassee Loop',DEFAULT,'Xinxiang',199,62250,935508855935,'2014-09-25 22:30:34'),
(170,'710 San Felipe del Progreso Avenue',DEFAULT,'Lilongwe',304,76901,843801144113,'2014-09-25 22:31:59'),
(171,'1540 Wroclaw Drive',DEFAULT,'Maharashtra',107,62686,182363341674,'2014-09-25 22:31:14'),
(172,'475 Atinsk Way',DEFAULT,'Gansu',240,59571,201705577290,'2014-09-25 22:30:36'),
(173,'1294 Firozabad Drive',DEFAULT,'Jiangxi',407,70618,161801569569,'2014-09-25 22:30:40'),
(174,'1877 Ezhou Lane',DEFAULT,'Rajasthan',550,63337,264541743403,'2014-09-25 22:31:28'),
(175,'316 Uruapan Street',DEFAULT,'Perak',223,58194,275788967899,'2014-09-25 22:31:59'),
(176,'29 Pyongyang Loop',DEFAULT,'Batman',58,47753,734780743462,'2014-09-25 22:33:23'),
(177,'1010 Klerksdorp Way',DEFAULT,'Steiermark',186,6802,493008546874,'2014-09-25 22:30:10'),
(178,'1848 Salala Boulevard',DEFAULT,'Miranda',373,25220,48265851133,'2014-09-25 22:34:04'),
(179,'431 Xiangtan Avenue',DEFAULT,'Kerala',18,4854,230250973122,'2014-09-25 22:31:10'),
(180,'757 Rustenburg Avenue',DEFAULT,'Skikda',483,89668,506134035434,'2014-09-25 22:30:01'),
(181,'146 Johannesburg Way',DEFAULT,'Tamaulipas',330,54132,953689007081,'2014-09-25 22:32:09'),
(182,'1891 Rizhao Boulevard',DEFAULT,'So Paulo',456,47288,391065549876,'2014-09-25 22:30:21'),
(183,'1089 Iwatsuki Avenue',DEFAULT,'Kirov',270,35109,866092335135,'2014-09-25 22:32:50'),
(184,'1410 Benin City Parkway',DEFAULT,'Risaralda',405,29747,104150372603,'2014-09-25 22:30:52'),
(185,'682 Garden Grove Place',DEFAULT,'Tennessee',333,67497,72136330362,'2014-09-25 22:33:57'),
(186,'533 al-Ayn Boulevard',DEFAULT,'California',126,8862,662227486184,'2014-09-25 22:33:48'),
(187,'1839 Szkesfehrvr Parkway',DEFAULT,'Gois',317,55709,947468818183,'2014-09-25 22:30:20'),
(188,'741 Ambattur Manor',DEFAULT,'Noord-Brabant',438,43310,302590383819,'2014-09-25 22:32:21'),
(189,'927 Barcelona Street',DEFAULT,'Chaharmahal va Bakht',467,65121,951486492670,'2014-09-25 22:31:38'),
(190,'435 0 Way',DEFAULT,'West Bengali',195,74750,760171523969,'2014-09-25 22:31:16'),
(191,'140 Chiayi Parkway',DEFAULT,'Sumy',506,38982,855863906434,'2014-09-25 22:33:34'),
(192,'1166 Changhwa Street',DEFAULT,'Caraga',62,58852,650752094490,'2014-09-25 22:32:34'),
(193,'891 Novi Sad Manor',DEFAULT,'Ontario',383,5379,247646995453,'2014-09-25 22:30:28'),
(194,'605 Rio Claro Parkway',DEFAULT,'Tabora',513,49348,352469351088,'2014-09-25 22:33:18'),
(195,'1077 San Felipe de Puerto Plata Place',DEFAULT,'Rostov-na-Donu',369,65387,812824036424,'2014-09-25 22:32:56'),
(196,'9 San Miguel de Tucumn Manor',DEFAULT,'Uttar Pradesh',169,90845,956188728558,'2014-09-25 22:31:15'),
(197,'447 Surakarta Loop',DEFAULT,'Nyanza',271,10428,940830176580,'2014-09-25 22:31:56'),
(198,'345 Oshawa Boulevard',DEFAULT,'Tokyo-to',204,32114,104491201771,'2014-09-25 22:31:45'),
(199,'1792 Valle de la Pascua Place',DEFAULT,'Nordrhein-Westfalen',477,15540,419419591240,'2014-09-25 22:31:06'),
(200,'1074 Binzhou Manor',DEFAULT,'Baden-Wrttemberg',325,36490,331132568928,'2014-09-25 22:31:05'),
(201,'817 Bradford Loop',DEFAULT,'Jiangsu',109,89459,264286442804,'2014-09-25 22:30:31'),
(202,'955 Bamenda Way',DEFAULT,'Ondo & Ekiti',218,1545,768481779568,'2014-09-25 22:32:24'),
(203,'1149 A Corua (La Corua), Boulevard',DEFAULT,'Haiphong',194,95824,470884141195,'2014-09-25 22:34:06'),
(204,'387 Mwene-Ditu Drive',DEFAULT,'Ahal',35,8073,764477681869,'2014-09-25 22:33:30'),
(205,'68 Molodetno Manor',DEFAULT,'Nordrhein-Westfalen',575,4662,146640639760,'2014-09-25 22:31:06'),
(206,'642 Nador Drive',DEFAULT,'Maharashtra',77,3924,369050085652,'2014-09-25 22:31:13'),
(207,'1688 Nador Lane',DEFAULT,'Sulawesi Utara',184,61613,652218196731,'2014-09-25 22:31:32'),
(208,'1215 Pyongyang Parkway',DEFAULT,'Usak',557,25238,646237101779,'2014-09-25 22:33:30'),
(209,'1679 Antofagasta Street',DEFAULT,'Alto Paran',122,86599,905903574913,'2014-09-25 22:32:32'),
(210,'1304 s-Hertogenbosch Way',DEFAULT,'Santa Catarina',83,10925,90336226227,'2014-09-25 22:30:16'),
(211,'850 Salala Loop',DEFAULT,'Kitaa',371,10800,403404780639,'2014-09-25 22:31:07'),
(212,'624 Oshawa Boulevard',DEFAULT,'West Bengali',51,89959,49677664184,'2014-09-25 22:31:11'),
(213,'43 Dadu Avenue',DEFAULT,'Rajasthan',74,4855,95666951770,'2014-09-25 22:31:12'),
(214,'751 Lima Loop',DEFAULT,'Aden',7,99405,756460337785,'2014-09-25 22:34:08'),
(215,'1333 Haldia Street',DEFAULT,'Jilin',174,82161,408304391718,'2014-09-25 22:30:33'),
(216,'660 Jedda Boulevard',DEFAULT,'Washington',65,25053,168758068397,'2014-09-25 22:33:45'),
(217,'1001 Miyakonojo Lane',DEFAULT,'Taizz',518,67924,584316724815,'2014-09-25 22:34:11'),
(218,'226 Brest Manor',DEFAULT,'California',508,2299,785881412500,'2014-09-25 22:34:02'),
(219,'1229 Valencia Parkway',DEFAULT,'Haskovo',498,99124,352679173732,'2014-09-25 22:30:24'),
(220,'1201 Qomsheh Manor',DEFAULT,'Gois',28,21464,873492228462,'2014-09-25 22:30:15'),
(221,'866 Shivapuri Manor',DEFAULT,'Uttar Pradesh',448,22474,778502731092,'2014-09-25 22:31:26'),
(222,'1168 Najafabad Parkway',DEFAULT,'Kabol',251,40301,886649065861,'2014-09-25 22:29:59'),
(223,'1244 Allappuzha (Alleppey), Place',DEFAULT,'Buenos Aires',567,20657,991802825778,'2014-09-25 22:30:08'),
(224,'1842 Luzinia Boulevard',DEFAULT,'Zanzibar West',593,94420,706878974831,'2014-09-25 22:33:19'),
(225,'1926 Gingoog Street',DEFAULT,'Sisilia',511,22824,469738825391,'2014-09-25 22:31:44'),
(226,'810 Palghat (Palakkad), Boulevard',DEFAULT,'Jaroslavl',235,73431,516331171356,'2014-09-25 22:32:49'),
(227,'1820 Maring Parkway',DEFAULT,'Punjab',324,88307,99760893676,'2014-09-25 22:32:30'),
(228,'60 Poos de Caldas Street',DEFAULT,'Rajasthan',243,82338,963063788669,'2014-09-25 22:31:18'),
(229,'1014 Loja Manor',DEFAULT,'Tamil Nadu',22,66851,460795526514,'2014-09-25 22:31:10'),
(230,'201 Effon-Alaiye Way',DEFAULT,'Asuncin',37,64344,684192903087,'2014-09-25 22:32:31'),
(231,'430 Alessandria Loop',DEFAULT,'Saarland',439,47446,669828224459,'2014-09-25 22:31:06'),
(232,'754 Valencia Place',DEFAULT,'Phnom Penh',406,87911,594319417514,'2014-09-25 22:30:25'),
(233,'356 Olomouc Manor',DEFAULT,'Gois',26,93323,22326410776,'2014-09-25 22:30:15'),
(234,'1256 Bislig Boulevard',DEFAULT,'Botosani',86,50598,479007229460,'2014-09-25 22:32:46'),
(235,'954 Kimchon Place',DEFAULT,'West Bengali',559,42420,541327526474,'2014-09-25 22:31:28'),
(236,'885 Yingkou Manor',DEFAULT,'Kaduna',596,31390,588964509072,'2014-09-25 22:32:28'),
(237,'1736 Cavite Place',DEFAULT,'Qina',216,98775,431770603551,'2014-09-25 22:30:56'),
(238,'346 Skikda Parkway',DEFAULT,'Hawalli',233,90628,630424482919,'2014-09-25 22:31:57'),
(239,'98 Stara Zagora Boulevard',DEFAULT,'Valle',96,76448,610173756082,'2014-09-25 22:30:51'),
(240,'1479 Rustenburg Boulevard',DEFAULT,'Southern Tagalog',527,18727,727785483194,'2014-09-25 22:32:40'),
(241,'647 A Corua (La Corua), Street',DEFAULT,'Chollanam',357,36971,792557457753,'2014-09-25 22:33:07'),
(242,'1964 Gijn Manor',DEFAULT,'Karnataka',473,14408,918119601885,'2014-09-25 22:31:26'),
(243,'47 Syktyvkar Lane',DEFAULT,'West Java',118,22236,63937119031,'2014-09-25 22:31:31'),
(244,'1148 Saarbrcken Parkway',DEFAULT,'Fukushima',226,1921,137773001988,'2014-09-25 22:31:47'),
(245,'1103 Bilbays Parkway',DEFAULT,'Hubei',578,87660,279979529227,'2014-09-25 22:30:45'),
